,id,genre_ids,name
14605,631909,35,Comedy
14606,8271,53,Thriller
14607,8271,18,Drama
14608,8271,9648,Mystery
14609,144540,18,Drama
14610,131836,18,Drama
14611,1004128,35,Comedy
14612,1004128,18,Drama
14613,133558,10752,War
14614,133558,18,Drama
14615,133558,28,Action
14616,371182,18,Drama
14617,371182,9648,Mystery
14618,371182,10770,TV Movie
14619,585216,27,Horror
14620,585216,53,Thriller
14621,585216,9648,Mystery
14622,50364,35,Comedy
14623,50364,18,Drama
14624,50364,10751,Family
14625,50364,10749,Romance
14626,50364,10770,TV Movie
14627,44135,28,Action
14628,44135,80,Crime
14629,44135,18,Drama
14630,44135,9648,Mystery
14631,44135,53,Thriller
14632,44135,10770,TV Movie
14633,531239,53,Thriller
14634,531239,10770,TV Movie
14635,2239,18,Drama
14636,2239,35,Comedy
14637,2239,53,Thriller
14638,928,35,Comedy
14639,928,27,Horror
14640,928,14,Fantasy
14641,26736,10751,Family
14642,26736,10770,TV Movie
14643,26736,12,Adventure
14644,26736,35,Comedy
14645,26736,14,Fantasy
14646,26736,28,Action
14647,26736,18,Drama
14648,283445,27,Horror
14649,39700,27,Horror
14650,39700,35,Comedy
14651,12920,18,Drama
14652,12920,10751,Family
14653,627489,10749,Romance
14654,627489,18,Drama
14655,627489,10770,TV Movie
14656,19142,27,Horror
14657,19142,878,Science Fiction
14658,1445231,10770,TV Movie
14659,1445231,18,Drama
14660,1445231,10749,Romance
14661,1445231,35,Comedy
14662,96395,18,Drama
14663,96395,10749,Romance
14664,96395,37,Western
14665,2395,14,Fantasy
14666,2395,12,Adventure
14667,2395,35,Comedy
14668,2395,10751,Family
14669,1515569,35,Comedy
14670,1515569,10749,Romance
14671,150535,10402,Music
14672,150535,10751,Family
14673,150535,14,Fantasy
14674,150535,16,Animation
14675,387830,10749,Romance
14676,11023,18,Drama
14677,654403,35,Comedy
14678,654403,878,Science Fiction
14679,654403,18,Drama
14680,5925,12,Adventure
14681,5925,18,Drama
14682,5925,10752,War
14683,62698,18,Drama
14684,62698,36,History
14685,62698,10752,War
14686,411873,35,Comedy
14687,283541,,
14688,114478,16,Animation
14689,114478,28,Action
14690,114478,878,Science Fiction
14691,52092,35,Comedy
14692,52092,27,Horror
14693,74239,10402,Music
14694,74239,99,Documentary
14695,10412,28,Action
14696,10412,18,Drama
14697,10412,53,Thriller
14698,1662,18,Drama
14699,1662,80,Crime
14700,1662,53,Thriller
14701,1281398,27,Horror
14702,1281398,28,Action
14703,1281398,53,Thriller
14704,1281398,9648,Mystery
14705,513919,18,Drama
14706,573995,28,Action
14707,573995,18,Drama
14708,573995,53,Thriller
14709,573995,10770,TV Movie
14710,100042,35,Comedy
14711,3600,27,Horror
14712,3600,9648,Mystery
14713,3600,53,Thriller
14714,44732,28,Action
14715,44732,18,Drama
14716,44732,27,Horror
14717,44732,53,Thriller
14718,471310,18,Drama
14719,471310,53,Thriller
14720,400928,18,Drama
14721,400928,35,Comedy
14722,393583,80,Crime
14723,393583,18,Drama
14724,95610,18,Drama
14725,95610,35,Comedy
14726,95610,10749,Romance
14727,188652,35,Comedy
14728,188652,14,Fantasy
14729,188652,10402,Music
14730,188652,878,Science Fiction
14731,1383580,18,Drama
14732,1383580,10402,Music
14733,1383580,18,Drama
14734,1383580,10402,Music
14735,765705,10402,Music
14736,1302007,18,Drama
14737,80585,35,Comedy
14738,80585,18,Drama
14739,80585,10749,Romance
14740,80585,10402,Music
14741,126487,27,Horror
14742,126487,878,Science Fiction
14743,530,10751,Family
14744,530,16,Animation
14745,530,35,Comedy
14746,530,878,Science Fiction
14747,530,14,Fantasy
14748,931285,28,Action
14749,931285,14,Fantasy
14750,931285,12,Adventure
14751,56156,18,Drama
14752,1171989,99,Documentary
14753,1171989,18,Drama
14754,1171989,80,Crime
14755,613,18,Drama
14756,613,36,History
14757,613,10752,War
14758,274,80,Crime
14759,274,53,Thriller
14760,274,18,Drama
14761,155497,35,Comedy
14762,594937,99,Documentary
14763,124873,28,Action
14764,124873,27,Horror
14765,1001925,18,Drama
14766,1001925,53,Thriller
14767,1001925,9648,Mystery
14768,11123,28,Action
14769,11123,18,Drama
14770,11123,53,Thriller
14771,337301,35,Comedy
14772,30826,35,Comedy
14773,446890,18,Drama
14774,84179,99,Documentary
14775,4518,18,Drama
14776,4518,36,History
14777,734286,18,Drama
14778,506869,35,Comedy
14779,288418,10749,Romance
